entity_id,state,last_changed
sensor.netznutzung_kwh,5204.56,2023-12-31T23:00:00.000Z
sensor.netznutzung_kwh,5206.93,2024-01-01T00:00:00.000Z
sensor.netznutzung_kwh,5215.84,2024-01-01T01:00:00.000Z
sensor.netznutzung_kwh,5220.11,2024-01-01T02:00:00.000Z
sensor.netznutzung_kwh,5222.26,2024-01-01T03:00:00.000Z
sensor.netznutzung_kwh,5223.86,2024-01-01T04:00:00.000Z
sensor.netznutzung_kwh,5225.17,2024-01-01T05:00:00.000Z
sensor.netznutzung_kwh,5226.51,2024-01-01T06:00:00.000Z
sensor.netznutzung_kwh,5227.64,2024-01-01T07:00:00.000Z
sensor.netznutzung_kwh,5228.61,2024-01-01T08:00:00.000Z
sensor.netznutzung_kwh,5229.63,2024-01-01T09:00:00.000Z
sensor.netznutzung_kwh,5230.62,2024-01-01T10:00:00.000Z
sensor.netznutzung_kwh,5231.31,2024-01-01T11:00:00.000Z
sensor.netznutzung_kwh,5233.18,2024-01-01T12:00:00.000Z
sensor.netznutzung_kwh,5235.21,2024-01-01T13:00:00.000Z
sensor.netznutzung_kwh,5236.44,2024-01-01T14:00:00.000Z
sensor.netznutzung_kwh,5237.9,2024-01-01T15:00:00.000Z
sensor.netznutzung_kwh,5239.85,2024-01-01T16:00:00.000Z
sensor.netznutzung_kwh,5241.37,2024-01-01T17:00:00.000Z
sensor.netznutzung_kwh,5243.49,2024-01-01T18:00:00.000Z
sensor.netznutzung_kwh,5244.5,2024-01-01T19:00:00.000Z
sensor.netznutzung_kwh,5247.52,2024-01-01T20:00:00.000Z
sensor.netznutzung_kwh,5249.02,2024-01-01T21:00:00.000Z
sensor.netznutzung_kwh,5250.58,2024-01-01T22:00:00.000Z
sensor.netznutzung_kwh,5252.16,2024-01-01T23:00:00.000Z
sensor.netznutzung_kwh,5253.59,2024-01-02T00:00:00.000Z
sensor.netznutzung_kwh,5254.94,2024-01-02T01:00:00.000Z
sensor.netznutzung_kwh,5256.33,2024-01-02T02:00:00.000Z
sensor.netznutzung_kwh,5257.74,2024-01-02T03:00:00.000Z
sensor.netznutzung_kwh,5259.26,2024-01-02T04:00:00.000Z
sensor.netznutzung_kwh,5260.76,2024-01-02T05:00:00.000Z
sensor.netznutzung_kwh,5261.97,2024-01-02T06:00:00.000Z
sensor.netznutzung_kwh,5263.52,2024-01-02T07:00:00.000Z
sensor.netznutzung_kwh,5265.09,2024-01-02T08:00:00.000Z
sensor.netznutzung_kwh,5266.14,2024-01-02T09:00:00.000Z
sensor.netznutzung_kwh,5267.16,2024-01-02T10:00:00.000Z
sensor.netznutzung_kwh,5268.89,2024-01-02T11:00:00.000Z
sensor.netznutzung_kwh,5270.29,2024-01-02T12:00:00.000Z
sensor.netznutzung_kwh,5271.97,2024-01-02T13:00:00.000Z
sensor.netznutzung_kwh,5273.2,2024-01-02T14:00:00.000Z
sensor.netznutzung_kwh,5274.71,2024-01-02T15:00:00.000Z
sensor.netznutzung_kwh,5276.85,2024-01-02T16:00:00.000Z
sensor.netznutzung_kwh,5277.59,2024-01-02T17:00:00.000Z
sensor.netznutzung_kwh,5279.92,2024-01-02T18:00:00.000Z
sensor.netznutzung_kwh,5282.2,2024-01-02T19:00:00.000Z
sensor.netznutzung_kwh,5286.19,2024-01-02T20:00:00.000Z
sensor.netznutzung_kwh,5292.15,2024-01-02T21:00:00.000Z
sensor.netznutzung_kwh,5295.71,2024-01-02T22:00:00.000Z
sensor.netznutzung_kwh,5298.66,2024-01-02T23:00:00.000Z
sensor.netznutzung_kwh,5300.94,2024-01-03T00:00:00.000Z
sensor.netznutzung_kwh,5302.5,2024-01-03T01:00:00.000Z
sensor.netznutzung_kwh,5303.94,2024-01-03T02:00:00.000Z
sensor.netznutzung_kwh,5304.99,2024-01-03T03:00:00.000Z
sensor.netznutzung_kwh,5306.28,2024-01-03T04:00:00.000Z
sensor.netznutzung_kwh,5307.55,2024-01-03T05:00:00.000Z
sensor.netznutzung_kwh,5309.02,2024-01-03T06:00:00.000Z
sensor.netznutzung_kwh,5309.75,2024-01-03T07:00:00.000Z
sensor.netznutzung_kwh,5310.49,2024-01-03T08:00:00.000Z
sensor.netznutzung_kwh,5311,2024-01-03T09:00:00.000Z
sensor.netznutzung_kwh,5311.2,2024-01-03T10:00:00.000Z
sensor.netznutzung_kwh,5312.16,2024-01-03T11:00:00.000Z
sensor.netznutzung_kwh,5312.73,2024-01-03T12:00:00.000Z
sensor.netznutzung_kwh,5313.46,2024-01-03T13:00:00.000Z
sensor.netznutzung_kwh,5314.56,2024-01-03T14:00:00.000Z
sensor.netznutzung_kwh,5315.26,2024-01-03T15:00:00.000Z
sensor.netznutzung_kwh,5316.79,2024-01-03T16:00:00.000Z
sensor.netznutzung_kwh,5318.21,2024-01-03T17:00:00.000Z
sensor.netznutzung_kwh,5320.98,2024-01-03T18:00:00.000Z
sensor.netznutzung_kwh,5321.91,2024-01-03T19:00:00.000Z
sensor.netznutzung_kwh,5323.55,2024-01-03T20:00:00.000Z
sensor.netznutzung_kwh,5325.99,2024-01-03T21:00:00.000Z
sensor.netznutzung_kwh,5326.61,2024-01-03T22:00:00.000Z
sensor.netznutzung_kwh,5327.88,2024-01-03T23:00:00.000Z
sensor.netznutzung_kwh,5328.25,2024-01-04T00:00:00.000Z
sensor.netznutzung_kwh,5329.35,2024-01-04T01:00:00.000Z
sensor.netznutzung_kwh,5330.57,2024-01-04T02:00:00.000Z
sensor.netznutzung_kwh,5330.7,2024-01-04T03:00:00.000Z
sensor.netznutzung_kwh,5333.73,2024-01-04T04:00:00.000Z
sensor.netznutzung_kwh,5334.06,2024-01-04T05:00:00.000Z
sensor.netznutzung_kwh,5335.56,2024-01-04T06:00:00.000Z
sensor.netznutzung_kwh,5336.93,2024-01-04T07:00:00.000Z
sensor.netznutzung_kwh,5338.07,2024-01-04T08:00:00.000Z
sensor.netznutzung_kwh,5338.99,2024-01-04T09:00:00.000Z
sensor.netznutzung_kwh,5339.91,2024-01-04T10:00:00.000Z
sensor.netznutzung_kwh,5341.14,2024-01-04T11:00:00.000Z
sensor.netznutzung_kwh,5341.69,2024-01-04T12:00:00.000Z
sensor.netznutzung_kwh,5342.05,2024-01-04T13:00:00.000Z
sensor.netznutzung_kwh,5343.55,2024-01-04T14:00:00.000Z
